payment_id,subscription_id,user_id,payment_date,amount,payment_method,payment_status,invoice_number
1809,892,892,2025-01-14,50,Bank Transfer,Success,INV-001809
5408,2720,2720,2025-01-14,50,Bank Transfer,Success,INV-005408
128,46,46,2025-01-15,240,PayPal,Success,INV-000128
2270,1100,1100,2025-01-15,20,PayPal,Success,INV-002270
1874,910,910,2025-01-15,20,Bank Transfer,Success,INV-001874
1258,651,651,2025-01-16,20,PayPal,Success,INV-001258
3379,1669,1669,2025-01-16,50,Bank Transfer,Success,INV-003379
5565,2817,2817,2025-01-16,20,PayPal,Success,INV-005565
2408,1169,1169,2025-01-17,20,UPI,Success,INV-002408
4526,2285,2285,2025-01-17,240,PayPal,Success,INV-004526
1170,616,616,2025-01-18,20,PayPal,Success,INV-001170
1771,882,882,2025-01-18,20,Bank Transfer,Success,INV-001771
2125,1038,1038,2025-01-18,20,Bank Transfer,Success,INV-002125
764,428,428,2025-01-18,600,Credit Card,Success,INV-000764
4567,2305,2305,2025-01-18,20,UPI,Success,INV-004567
4881,2454,2454,2025-01-19,240,UPI,Success,INV-004881
5663,2848,2848,2025-01-19,50,UPI,Success,INV-005663
2888,1414,1414,2025-01-19,20,UPI,Success,INV-002888
4357,2170,2170,2025-01-19,50,Credit Card,Success,INV-004357
1997,985,985,2025-01-20,20,Credit Card,Success,INV-001997
2626,1298,1298,2025-01-20,20,UPI,Success,INV-002626
5821,2926,2926,2025-01-20,20,Bank Transfer,Success,INV-005821
4806,2417,2417,2025-01-21,20,Bank Transfer,Success,INV-004806
779,439,439,2025-01-21,50,Bank Transfer,Success,INV-000779
1408,718,718,2025-01-21,20,UPI,Success,INV-001408
3166,1567,1567,2025-01-21,20,PayPal,Success,INV-003166
5449,2743,2743,2025-01-22,20,Bank Transfer,Success,INV-005449
3740,1835,1835,2025-01-22,20,PayPal,Success,INV-003740
3442,1696,1696,2025-01-22,20,PayPal,Success,INV-003442
3308,1625,1625,2025-01-23,20,PayPal,Success,INV-003308
2479,1214,1214,2025-01-23,20,UPI,Success,INV-002479
1700,856,856,2025-01-24,50,UPI,Success,INV-001700
2701,1334,1334,2025-01-25,240,PayPal,Success,INV-002701
4606,2318,2318,2025-01-26,20,PayPal,Success,INV-004606
2509,1231,1231,2025-01-26,20,PayPal,Failed,INV-002509
928,498,498,2025-01-26,20,UPI,Success,INV-000928
3031,1499,1499,2025-01-26,20,Bank Transfer,Failed,INV-003031
2912,1425,1425,2025-01-27,20,PayPal,Success,INV-002912
3513,1741,1741,2025-01-27,20,PayPal,Success,INV-003513
4888,2459,2459,2025-01-27,600,UPI,Success,INV-004888
4157,2055,2055,2025-01-27,50,Bank Transfer,Failed,INV-004157
2640,1302,1302,2025-01-27,20,Credit Card,Success,INV-002640
527,291,291,2025-01-27,20,Credit Card,Success,INV-000527
3198,1585,1585,2025-01-28,600,Credit Card,Success,INV-003198
5164,2609,2609,2025-01-28,20,Credit Card,Success,INV-005164
1780,885,885,2025-01-28,20,PayPal,Success,INV-001780
282,135,135,2025-01-28,600,Bank Transfer,Success,INV-000282
4717,2371,2371,2025-01-29,20,PayPal,Success,INV-004717
5147,2600,2600,2025-01-29,20,Bank Transfer,Success,INV-005147
4060,2013,2013,2025-01-30,50,Credit Card,Success,INV-004060
323,172,172,2025-01-31,20,UPI,Success,INV-000323
258,111,111,2025-01-31,600,Credit Card,Success,INV-000258
2781,1369,1369,2025-01-31,20,Credit Card,Success,INV-002781
5737,2880,2880,2025-01-31,20,Bank Transfer,Success,INV-005737
4862,2446,2446,2025-01-31,50,UPI,Success,INV-004862
3,2,2,2025-02-01,20,Bank Transfer,Success,INV-000003
2569,1268,1268,2025-02-01,50,Bank Transfer,Success,INV-002569
400,224,224,2025-02-01,50,Credit Card,Success,INV-000400
2714,1339,1339,2025-02-01,20,UPI,Success,INV-002714
1341,691,691,2025-02-01,20,UPI,Success,INV-001341
3954,1942,1942,2025-02-02,50,Credit Card,Failed,INV-003954
3115,1559,1559,2025-02-02,50,UPI,Success,INV-003115
2399,1164,1164,2025-02-02,600,Bank Transfer,Success,INV-002399
117,38,38,2025-02-02,20,UPI,Success,INV-000117
1758,873,873,2025-02-02,20,Bank Transfer,Success,INV-001758
4861,2444,2444,2025-02-02,600,Bank Transfer,Success,INV-004861
1221,630,630,2025-02-03,20,Credit Card,Success,INV-001221
3729,1833,1833,2025-02-03,20,UPI,Success,INV-003729
829,457,457,2025-02-03,20,UPI,Success,INV-000829
941,500,500,2025-02-03,20,Bank Transfer,Success,INV-000941
496,285,285,2025-02-03,20,Bank Transfer,Success,INV-000496
3608,1786,1786,2025-02-03,20,Bank Transfer,Success,INV-003608
1725,862,862,2025-02-03,20,UPI,Success,INV-001725
4132,2042,2042,2025-02-04,50,Bank Transfer,Success,INV-004132
2927,1440,1440,2025-02-04,240,UPI,Success,INV-002927
5501,2770,2770,2025-02-04,20,Credit Card,Success,INV-005501
4054,2010,2010,2025-02-04,50,Bank Transfer,Success,INV-004054
4623,2333,2333,2025-02-04,50,Credit Card,Success,INV-004623
1329,690,690,2025-02-04,50,UPI,Success,INV-001329
4095,2030,2030,2025-02-05,20,PayPal,Success,INV-004095
5596,2833,2833,2025-02-05,20,UPI,Failed,INV-005596
2099,1028,1028,2025-02-05,20,PayPal,Success,INV-002099
56,19,19,2025-02-05,50,Credit Card,Failed,INV-000056
3127,1561,1561,2025-02-05,20,Bank Transfer,Success,INV-003127
2233,1076,1076,2025-02-05,20,PayPal,Success,INV-002233
4398,2187,2187,2025-02-05,20,UPI,Success,INV-004398
3960,1946,1946,2025-02-05,20,Bank Transfer,Success,INV-003960
5926,2992,2992,2025-02-05,50,Credit Card,Success,INV-005926
1429,722,722,2025-02-05,20,Bank Transfer,Success,INV-001429
424,241,241,2025-02-05,240,PayPal,Success,INV-000424
4423,2202,2202,2025-02-06,600,Bank Transfer,Success,INV-004423
4043,2006,2006,2025-02-07,50,Credit Card,Success,INV-004043
1058,563,563,2025-02-07,20,UPI,Success,INV-001058
681,369,369,2025-02-07,50,UPI,Success,INV-000681
5016,2522,2522,2025-02-07,50,Credit Card,Success,INV-005016
1923,941,941,2025-02-08,20,Bank Transfer,Success,INV-001923
810,454,454,2025-02-08,50,Bank Transfer,Success,INV-000810
3711,1831,1831,2025-02-08,50,UPI,Success,INV-003711
5717,2867,2867,2025-02-08,20,Bank Transfer,Success,INV-005717
4989,2504,2504,2025-02-09,20,Credit Card,Success,INV-004989
3408,1682,1682,2025-02-09,50,PayPal,Success,INV-003408
2295,1104,1104,2025-02-09,50,UPI,Success,INV-002295
3239,1600,1600,2025-02-09,50,PayPal,Success,INV-003239
5876,2969,2969,2025-02-09,20,Bank Transfer,Success,INV-005876
4774,2398,2398,2025-02-10,50,PayPal,Success,INV-004774
4225,2092,2092,2025-02-10,20,Bank Transfer,Success,INV-004225
205,94,94,2025-02-10,50,UPI,Success,INV-000205
171,78,78,2025-02-10,50,Bank Transfer,Success,INV-000171
896,487,487,2025-02-11,50,Credit Card,Success,INV-000896
3216,1596,1596,2025-02-11,20,Credit Card,Success,INV-003216
3020,1498,1498,2025-02-11,20,PayPal,Success,INV-003020
2690,1333,1333,2025-02-11,50,Bank Transfer,Success,INV-002690
4665,2347,2347,2025-02-11,20,Credit Card,Success,INV-004665
5372,2708,2708,2025-02-12,50,Bank Transfer,Success,INV-005372
2767,1363,1363,2025-02-12,20,PayPal,Success,INV-002767
218,99,99,2025-02-12,20,PayPal,Success,INV-000218
1859,907,907,2025-02-12,20,UPI,Success,INV-001859
1275,660,660,2025-02-12,20,UPI,Success,INV-001275
2945,1446,1446,2025-02-12,20,PayPal,Success,INV-002945
2440,1196,1196,2025-02-12,20,PayPal,Success,INV-002440
4543,2300,2300,2025-02-12,20,UPI,Success,INV-004543
551,299,299,2025-02-12,20,PayPal,Success,INV-000551
347,190,190,2025-02-12,50,PayPal,Success,INV-000347
2815,1380,1380,2025-02-13,20,Bank Transfer,Success,INV-002815
2284,1103,1103,2025-02-13,50,UPI,Success,INV-002284
5648,2843,2843,2025-02-13,20,UPI,Success,INV-005648
1502,762,762,2025-02-13,50,PayPal,Success,INV-001502
1130,594,594,2025-02-13,20,Bank Transfer,Success,INV-001130
5437,2734,2734,2025-02-13,50,Credit Card,Success,INV-005437
1986,979,979,2025-02-13,50,PayPal,Success,INV-001986
3060,1513,1513,2025-02-13,50,PayPal,Success,INV-003060
2851,1399,1399,2025-02-14,50,Credit Card,Success,INV-002851
3782,1858,1858,2025-02-14,50,Credit Card,Success,INV-003782
1810,892,892,2025-02-14,50,Credit Card,Success,INV-001810
5409,2720,2720,2025-02-14,50,Bank Transfer,Success,INV-005409
3688,1824,1824,2025-02-14,20,Bank Transfer,Success,INV-003688
1875,910,910,2025-02-15,20,Bank Transfer,Success,INV-001875
1477,750,750,2025-02-15,240,UPI,Success,INV-001477
2271,1100,1100,2025-02-15,20,UPI,Success,INV-002271
5566,2817,2817,2025-02-16,20,Credit Card,Success,INV-005566
3380,1669,1669,2025-02-16,50,Bank Transfer,Failed,INV-003380
3320,1626,1626,2025-02-16,20,PayPal,Success,INV-003320
4954,2483,2483,2025-02-16,50,Bank Transfer,Success,INV-004954
1259,651,651,2025-02-16,20,UPI,Success,INV-001259
3836,1889,1889,2025-02-16,20,Bank Transfer,Success,INV-003836
2071,1022,1022,2025-02-17,50,PayPal,Success,INV-002071
4516,2272,2272,2025-02-17,600,Bank Transfer,Success,INV-004516
2409,1169,1169,2025-02-17,20,Bank Transfer,Success,INV-002409
2146,1051,1051,2025-02-17,20,Bank Transfer,Success,INV-002146
1899,932,932,2025-02-17,20,PayPal,Failed,INV-001899
415,233,233,2025-02-18,50,PayPal,Success,INV-000415
5905,2980,2980,2025-02-18,50,PayPal,Success,INV-005905
845,464,464,2025-02-18,20,PayPal,Success,INV-000845
5897,2976,2976,2025-02-18,20,UPI,Success,INV-005897
4568,2305,2305,2025-02-18,20,UPI,Success,INV-004568
2126,1038,1038,2025-02-18,20,PayPal,Success,INV-002126
2082,1024,1024,2025-02-18,20,UPI,Success,INV-002082
1171,616,616,2025-02-18,20,Bank Transfer,Success,INV-001171
1772,882,882,2025-02-18,20,Bank Transfer,Success,INV-001772
1798,891,891,2025-02-18,20,Credit Card,Success,INV-001798
441,256,256,2025-02-19,240,UPI,Success,INV-000441
4358,2170,2170,2025-02-19,50,PayPal,Success,INV-004358
5664,2848,2848,2025-02-19,50,Bank Transfer,Success,INV-005664
724,396,396,2025-02-19,20,PayPal,Success,INV-000724
3785,1859,1859,2025-02-19,20,PayPal,Success,INV-003785
2889,1414,1414,2025-02-19,20,UPI,Success,INV-002889
1998,985,985,2025-02-20,20,PayPal,Success,INV-001998
302,161,161,2025-02-20,20,Credit Card,Success,INV-000302
856,465,465,2025-02-20,20,Bank Transfer,Success,INV-000856
2627,1298,1298,2025-02-20,20,UPI,Failed,INV-002627
2189,1060,1060,2025-02-20,20,Credit Card,Success,INV-002189
5822,2926,2926,2025-02-20,20,PayPal,Success,INV-005822
4758,2391,2391,2025-02-20,20,PayPal,Success,INV-004758
511,287,287,2025-02-21,20,Credit Card,Success,INV-000511
4807,2417,2417,2025-02-21,20,Credit Card,Success,INV-004807
780,439,439,2025-02-21,50,Bank Transfer,Success,INV-000780
3167,1567,1567,2025-02-21,20,PayPal,Success,INV-003167
1409,718,718,2025-02-21,20,Bank Transfer,Success,INV-001409
2689,1332,1332,2025-02-22,600,Credit Card,Success,INV-002689
2200,1061,1061,2025-02-22,600,Bank Transfer,Success,INV-002200
3741,1835,1835,2025-02-22,20,Bank Transfer,Failed,INV-003741
4941,2478,2478,2025-02-22,50,UPI,Success,INV-004941
5450,2743,2743,2025-02-22,20,Bank Transfer,Success,INV-005450
3443,1696,1696,2025-02-22,20,UPI,Success,INV-003443
2480,1214,1214,2025-02-23,20,Bank Transfer,Success,INV-002480
4192,2068,2068,2025-02-23,50,Bank Transfer,Success,INV-004192
3309,1625,1625,2025-02-23,20,Bank Transfer,Success,INV-003309
5391,2715,2715,2025-02-23,20,Credit Card,Success,INV-005391
1022,544,544,2025-02-23,50,PayPal,Success,INV-001022
414,232,232,2025-02-24,600,UPI,Success,INV-000414
2201,1065,1065,2025-02-24,50,Bank Transfer,Success,INV-002201
3072,1521,1521,2025-02-24,600,PayPal,Success,INV-003072
1701,856,856,2025-02-24,50,PayPal,Success,INV-001701
3155,1566,1566,2025-02-25,50,Credit Card,Success,INV-003155
1689,855,855,2025-02-25,20,PayPal,Success,INV-001689
3502,1740,1740,2025-02-25,20,Bank Transfer,Success,INV-003502
5632,2841,2841,2025-02-26,20,Bank Transfer,Success,INV-005632
3032,1499,1499,2025-02-26,20,PayPal,Success,INV-003032
4607,2318,2318,2025-02-26,20,Bank Transfer,Success,INV-004607
929,498,498,2025-02-26,20,PayPal,Failed,INV-000929
4882,2457,2457,2025-02-26,600,PayPal,Success,INV-004882
2510,1231,1231,2025-02-26,20,UPI,Success,INV-002510
2641,1302,1302,2025-02-27,20,Bank Transfer,Success,INV-002641
4158,2055,2055,2025-02-27,50,Bank Transfer,Success,INV-004158
2913,1425,1425,2025-02-27,20,UPI,Success,INV-002913
528,291,291,2025-02-27,20,Bank Transfer,Success,INV-000528
4531,2288,2288,2025-02-27,600,PayPal,Success,INV-004531
3984,1966,1966,2025-02-27,20,Credit Card,Success,INV-003984
3514,1741,1741,2025-02-27,20,PayPal,Success,INV-003514
1781,885,885,2025-02-28,20,UPI,Success,INV-001781
5148,2600,2600,2025-02-28,20,Credit Card,Success,INV-005148
4211,2080,2080,2025-02-28,50,UPI,Success,INV-004211
2782,1369,1369,2025-02-28,20,PayPal,Success,INV-002782
5165,2609,2609,2025-02-28,20,PayPal,Success,INV-005165
5738,2880,2880,2025-02-28,20,Credit Card,Success,INV-005738
324,172,172,2025-02-28,20,PayPal,Success,INV-000324
4061,2013,2013,2025-02-28,50,UPI,Success,INV-004061
4718,2371,2371,2025-02-28,20,PayPal,Success,INV-004718
4863,2446,2446,2025-02-28,50,UPI,Success,INV-004863
3265,1614,1614,2025-02-28,20,Credit Card,Failed,INV-003265
1342,691,691,2025-03-01,20,PayPal,Success,INV-001342
2250,1090,1090,2025-03-01,50,PayPal,Success,INV-002250
360,192,192,2025-03-01,50,Credit Card,Success,INV-000360
2570,1268,1268,2025-03-01,50,PayPal,Success,INV-002570
401,224,224,2025-03-01,50,UPI,Success,INV-000401
4,2,2,2025-03-01,20,PayPal,Failed,INV-000004
2971,1460,1460,2025-03-01,20,Credit Card,Success,INV-002971
2715,1339,1339,2025-03-01,20,Bank Transfer,Success,INV-002715
3116,1559,1559,2025-03-02,50,Bank Transfer,Success,INV-003116
3955,1942,1942,2025-03-02,50,Bank Transfer,Success,INV-003955
118,38,38,2025-03-02,20,PayPal,Success,INV-000118
1182,619,619,2025-03-02,20,UPI,Success,INV-001182
1759,873,873,2025-03-02,20,Bank Transfer,Success,INV-001759
497,285,285,2025-03-03,20,Credit Card,Failed,INV-000497
3730,1833,1833,2025-03-03,20,Bank Transfer,Success,INV-003730
1726,862,862,2025-03-03,20,Bank Transfer,Success,INV-001726
942,500,500,2025-03-03,20,UPI,Success,INV-000942
830,457,457,2025-03-03,20,Bank Transfer,Success,INV-000830
3609,1786,1786,2025-03-03,20,PayPal,Success,INV-003609
1845,904,904,2025-03-03,50,UPI,Failed,INV-001845
1222,630,630,2025-03-03,20,Bank Transfer,Success,INV-001222
2780,1368,1368,2025-03-04,240,Credit Card,Success,INV-002780
4055,2010,2010,2025-03-04,50,PayPal,Success,INV-004055
2318,1116,1116,2025-03-04,20,Credit Card,Success,INV-002318
4133,2042,2042,2025-03-04,50,PayPal,Success,INV-004133
1330,690,690,2025-03-04,50,UPI,Success,INV-001330
5502,2770,2770,2025-03-04,20,Bank Transfer,Success,INV-005502
4624,2333,2333,2025-03-04,50,Bank Transfer,Success,INV-004624
5345,2702,2702,2025-03-04,20,PayPal,Success,INV-005345
1430,722,722,2025-03-05,20,Credit Card,Success,INV-001430
5597,2833,2833,2025-03-05,20,Bank Transfer,Success,INV-005597
2234,1076,1076,2025-03-05,20,PayPal,Success,INV-002234
4399,2187,2187,2025-03-05,20,Bank Transfer,Success,INV-004399
57,19,19,2025-03-05,50,PayPal,Success,INV-000057
5927,2992,2992,2025-03-05,50,PayPal,Success,INV-005927
4426,2206,2206,2025-03-05,20,UPI,Success,INV-004426
2100,1028,1028,2025-03-05,20,Credit Card,Success,INV-002100
1524,765,765,2025-03-05,20,UPI,Success,INV-001524
4096,2030,2030,2025-03-05,20,PayPal,Success,INV-004096
5001,2510,2510,2025-03-05,20,Credit Card,Success,INV-005001
3128,1561,1561,2025-03-05,20,PayPal,Success,INV-003128
3961,1946,1946,2025-03-05,20,Bank Transfer,Success,INV-003961
5097,2571,2571,2025-03-06,20,Credit Card,Success,INV-005097
4256,2098,2098,2025-03-06,50,PayPal,Success,INV-004256
1059,563,563,2025-03-07,20,Bank Transfer,Success,INV-001059
576,317,317,2025-03-07,50,PayPal,Success,INV-000576
682,369,369,2025-03-07,50,Credit Card,Success,INV-000682
5017,2522,2522,2025-03-07,50,Credit Card,Success,INV-005017
4044,2006,2006,2025-03-07,50,PayPal,Success,INV-004044
811,454,454,2025-03-08,50,Credit Card,Success,INV-000811
5718,2867,2867,2025-03-08,20,Credit Card,Success,INV-005718
5478,2754,2754,2025-03-08,240,Bank Transfer,Success,INV-005478
1924,941,941,2025-03-08,20,UPI,Success,INV-001924
4697,2363,2363,2025-03-08,50,Credit Card,Success,INV-004697
1616,818,818,2025-03-08,20,Credit Card,Success,INV-001616
586,318,318,2025-03-08,50,PayPal,Success,INV-000586
5781,2906,2906,2025-03-08,20,Credit Card,Success,INV-005781
3712,1831,1831,2025-03-08,50,Bank Transfer,Success,INV-003712
5627,2839,2839,2025-03-08,50,PayPal,Success,INV-005627
3145,1565,1565,2025-03-08,20,UPI,Success,INV-003145
3215,1595,1595,2025-03-08,240,Bank Transfer,Success,INV-003215
4478,2248,2248,2025-03-09,240,UPI,Success,INV-004478
5079,2564,2564,2025-03-09,50,PayPal,Success,INV-005079
1160,609,609,2025-03-09,20,PayPal,Failed,INV-001160
3409,1682,1682,2025-03-09,50,Credit Card,Success,INV-003409
3240,1600,1600,2025-03-09,50,Credit Card,Success,INV-003240
5877,2969,2969,2025-03-09,20,UPI,Success,INV-005877
4990,2504,2504,2025-03-09,20,Credit Card,Success,INV-004990
2296,1104,1104,2025-03-09,50,Bank Transfer,Success,INV-002296
448,263,263,2025-03-10,20,Credit Card,Success,INV-000448
172,78,78,2025-03-10,50,UPI,Failed,INV-000172
3767,1855,1855,2025-03-10,20,PayPal,Success,INV-003767
206,94,94,2025-03-10,50,PayPal,Success,INV-000206
4775,2398,2398,2025-03-10,50,UPI,Success,INV-004775
2282,1101,1101,2025-03-10,20,Bank Transfer,Success,INV-002282
4111,2034,2034,2025-03-10,50,Credit Card,Success,INV-004111
1540,774,774,2025-03-10,600,PayPal,Success,INV-001540
1486,757,757,2025-03-10,20,UPI,Success,INV-001486
4226,2092,2092,2025-03-10,20,PayPal,Success,INV-004226
2338,1123,1123,2025-03-10,50,PayPal,Success,INV-002338
1241,639,639,2025-03-10,50,Credit Card,Success,INV-001241
2428,1181,1181,2025-03-11,20,Bank Transfer,Success,INV-002428
3217,1596,1596,2025-03-11,20,Bank Transfer,Success,INV-003217
107,37,37,2025-03-11,20,UPI,Failed,INV-000107
3021,1498,1498,2025-03-11,20,PayPal,Success,INV-003021
2691,1333,1333,2025-03-11,50,PayPal,Success,INV-002691
3254,1606,1606,2025-03-11,20,PayPal,Success,INV-003254
1073,568,568,2025-03-11,20,Credit Card,Success,INV-001073
897,487,487,2025-03-11,50,Credit Card,Success,INV-000897
4666,2347,2347,2025-03-11,20,Credit Card,Success,INV-004666
1860,907,907,2025-03-12,20,PayPal,Success,INV-001860
1276,660,660,2025-03-12,20,Credit Card,Success,INV-001276
5373,2708,2708,2025-03-12,50,Credit Card,Success,INV-005373
2441,1196,1196,2025-03-12,20,PayPal,Success,INV-002441
348,190,190,2025-03-12,50,PayPal,Success,INV-000348
4544,2300,2300,2025-03-12,20,Bank Transfer,Success,INV-004544
2768,1363,1363,2025-03-12,20,Bank Transfer,Success,INV-002768
552,299,299,2025-03-12,20,PayPal,Success,INV-000552
2946,1446,1446,2025-03-12,20,Credit Card,Success,INV-002946
219,99,99,2025-03-12,20,PayPal,Success,INV-000219
2260,1092,1092,2025-03-12,240,Bank Transfer,Success,INV-002260
5649,2843,2843,2025-03-13,20,PayPal,Success,INV-005649
641,346,346,2025-03-13,600,Bank Transfer,Success,INV-000641
2816,1380,1380,2025-03-13,20,PayPal,Success,INV-002816
1131,594,594,2025-03-13,20,Credit Card,Success,INV-001131
1987,979,979,2025-03-13,50,UPI,Success,INV-001987
1503,762,762,2025-03-13,50,Bank Transfer,Success,INV-001503
2285,1103,1103,2025-03-13,50,Credit Card,Success,INV-002285
3061,1513,1513,2025-03-13,50,Bank Transfer,Success,INV-003061
5438,2734,2734,2025-03-13,50,UPI,Success,INV-005438
2852,1399,1399,2025-03-14,50,Bank Transfer,Success,INV-002852
3783,1858,1858,2025-03-14,50,PayPal,Success,INV-003783
5384,2711,2711,2025-03-14,50,Bank Transfer,Success,INV-005384
2385,1153,1153,2025-03-14,20,UPI,Success,INV-002385
3689,1824,1824,2025-03-14,20,PayPal,Success,INV-003689
1811,892,892,2025-03-14,50,Credit Card,Success,INV-001811
1192,620,620,2025-03-14,20,Credit Card,Success,INV-001192
5410,2720,2720,2025-03-14,50,Credit Card,Success,INV-005410
4182,2066,2066,2025-03-15,20,PayPal,Success,INV-004182
2272,1100,1100,2025-03-15,20,UPI,Success,INV-002272
2024,1002,1002,2025-03-15,20,UPI,Success,INV-002024
1876,910,910,2025-03-15,20,Bank Transfer,Success,INV-001876
1260,651,651,2025-03-16,20,Bank Transfer,Success,INV-001260
5567,2817,2817,2025-03-16,20,PayPal,Success,INV-005567
3837,1889,1889,2025-03-16,20,Bank Transfer,Success,INV-003837
4955,2483,2483,2025-03-16,50,Credit Card,Success,INV-004955
3321,1626,1626,2025-03-16,20,UPI,Success,INV-003321
3381,1669,1669,2025-03-16,50,Bank Transfer,Success,INV-003381
5293,2681,2681,2025-03-17,240,PayPal,Success,INV-005293
2147,1051,1051,2025-03-17,20,PayPal,Success,INV-002147
412,230,230,2025-03-17,600,PayPal,Success,INV-000412
2072,1022,1022,2025-03-17,50,Bank Transfer,Success,INV-002072
1900,932,932,2025-03-17,20,PayPal,Success,INV-001900
2410,1169,1169,2025-03-17,20,PayPal,Success,INV-002410
5792,2909,2909,2025-03-17,20,Bank Transfer,Success,INV-005792
4707,2368,2368,2025-03-17,20,PayPal,Success,INV-004707
4569,2305,2305,2025-03-18,20,PayPal,Success,INV-004569
287,149,149,2025-03-18,20,PayPal,Success,INV-000287
2127,1038,1038,2025-03-18,20,Bank Transfer,Success,INV-002127
416,233,233,2025-03-18,50,UPI,Success,INV-000416
846,464,464,2025-03-18,20,PayPal,Success,INV-000846
5335,2700,2700,2025-03-18,50,Bank Transfer,Success,INV-005335
2083,1024,1024,2025-03-18,20,Credit Card,Success,INV-002083
5898,2976,2976,2025-03-18,20,UPI,Success,INV-005898
1651,835,835,2025-03-18,20,PayPal,Failed,INV-001651
5906,2980,2980,2025-03-18,50,PayPal,Success,INV-005906
2315,1108,1108,2025-03-18,240,UPI,Success,INV-002315
1172,616,616,2025-03-18,20,PayPal,Success,INV-001172
1799,891,891,2025-03-18,20,Credit Card,Success,INV-001799
3786,1859,1859,2025-03-19,20,UPI,Success,INV-003786
5061,2553,2553,2025-03-19,50,PayPal,Success,INV-005061
4359,2170,2170,2025-03-19,50,PayPal,Success,INV-004359
725,396,396,2025-03-19,20,Credit Card,Success,INV-000725
4953,2481,2481,2025-03-19,240,Credit Card,Success,INV-004953
1142,603,603,2025-03-19,20,UPI,Success,INV-001142
2703,1337,1337,2025-03-19,50,PayPal,Success,INV-002703
3556,1763,1763,2025-03-19,20,PayPal,Success,INV-003556
5259,2657,2657,2025-03-19,20,Credit Card,Success,INV-005259
2890,1414,1414,2025-03-19,20,Credit Card,Success,INV-002890
4759,2391,2391,2025-03-20,20,UPI,Success,INV-004759
2190,1060,1060,2025-03-20,20,PayPal,Success,INV-002190
1398,715,715,2025-03-20,20,PayPal,Success,INV-001398
4748,2389,2389,2025-03-20,20,Bank Transfer,Success,INV-004748
3545,1755,1755,2025-03-20,20,UPI,Success,INV-003545
1999,985,985,2025-03-20,20,PayPal,Success,INV-001999
5823,2926,2926,2025-03-20,20,UPI,Success,INV-005823
2174,1056,1056,2025-03-20,50,Credit Card,Success,INV-002174
