user_id,country,city,device,acquisition_channel,signup_date,cohort_month,activation_date,plan_type,experiment_group
40,India,Mumbai,Mobile,Email Campaign,2025-06-06,2025-06,2025-06-12,Free,B
41,India,Hyderabad,Mobile,Organic Search,2025-05-03,2025-05,,Free,A
42,UK,London,Desktop,Referral,2025-10-12,2025-10,2025-10-14,Free,B
43,India,Hyderabad,Desktop,Organic Search,2025-04-06,2025-04,,Free,B
44,India,Hyderabad,Mobile,Organic Search,2025-07-15,2025-07,2025-07-28,Free,B
45,Canada,Toronto,Mobile,Referral,2025-01-29,2025-01,2025-02-09,Free,A
46,USA,San Francisco,Desktop,Organic Search,2025-01-15,2025-01,2025-01-17,Pro,B
47,India,Bengaluru,Desktop,Organic Search,2025-09-26,2025-09,2025-10-09,Free,A
48,USA,New York,Tablet,Organic Search,2025-06-10,2025-06,2025-06-21,Basic,B
49,Germany,Berlin,Desktop,Email Campaign,2025-03-09,2025-03,,Free,B
50,India,Mumbai,Desktop,Google Ads,2025-12-05,2025-12,2025-12-18,Free,A
51,India,Hyderabad,Desktop,Google Ads,2025-07-18,2025-07,2025-07-27,Free,B
52,UK,Manchester,Desktop,Organic Search,2025-02-03,2025-02,2025-02-10,Free,A
53,India,Hyderabad,Desktop,Organic Search,2025-08-14,2025-08,2025-08-20,Free,A
54,India,Bengaluru,Desktop,Organic Search,2025-06-05,2025-06,2025-06-14,Free,A
55,India,Hyderabad,Tablet,Google Ads,2025-10-29,2025-10,,Basic,A
56,India,Mumbai,Desktop,Organic Search,2025-07-11,2025-07,,Basic,A
57,India,Mumbai,Desktop,Referral,2025-10-07,2025-10,2025-10-16,Free,A
58,USA,Austin,Desktop,Organic Search,2025-11-19,2025-11,2025-12-02,Free,B
59,UK,London,Desktop,Google Ads,2025-03-23,2025-03,2025-03-31,Basic,B
60,USA,Austin,Desktop,Organic Search,2025-01-23,2025-01,,Free,A
61,India,Hyderabad,Mobile,Organic Search,2025-07-14,2025-07,2025-07-22,Pro,B
62,Canada,Vancouver,Mobile,Organic Search,2025-01-02,2025-01,2025-01-16,Free,B
63,India,Bengaluru,Mobile,Google Ads,2025-08-02,2025-08,2025-08-07,Pro,B
64,India,Bengaluru,Mobile,Google Ads,2025-05-30,2025-05,2025-06-01,Pro,A
65,India,Mumbai,Desktop,Organic Search,2025-01-09,2025-01,,Free,A
66,India,Bengaluru,Desktop,Referral,2025-05-10,2025-05,,Free,B
67,Germany,Berlin,Desktop,Organic Search,2025-11-18,2025-11,2025-11-22,Free,B
68,India,Bengaluru,Desktop,Organic Search,2025-09-13,2025-09,2025-09-25,Free,A
69,India,Hyderabad,Desktop,Email Campaign,2025-07-02,2025-07,2025-07-11,Pro,A
70,India,Bengaluru,Mobile,Google Ads,2025-04-09,2025-04,,Free,A
71,Germany,Berlin,Mobile,Organic Search,2025-09-30,2025-09,,Free,B
72,UK,Manchester,Desktop,Organic Search,2025-08-20,2025-08,2025-08-22,Pro,B
73,India,Mumbai,Mobile,Organic Search,2025-11-11,2025-11,,Pro,A
74,Germany,Berlin,Desktop,Email Campaign,2025-11-05,2025-11,2025-11-11,Free,A
75,USA,New York,Desktop,Email Campaign,2025-06-08,2025-06,,Basic,B
76,India,Bengaluru,Desktop,Email Campaign,2025-03-22,2025-03,2025-04-03,Free,A
77,USA,New York,Desktop,Organic Search,2025-03-28,2025-03,2025-04-04,Free,A
78,India,Bengaluru,Desktop,Google Ads,2025-01-10,2025-01,2025-01-18,Free,B
79,Canada,Toronto,Desktop,Organic Search,2025-09-07,2025-09,2025-09-14,Basic,B
80,USA,San Francisco,Desktop,Email Campaign,2025-10-12,2025-10,,Free,B
81,USA,Austin,Mobile,Email Campaign,2025-02-04,2025-02,,Free,A
82,USA,San Francisco,Desktop,Referral,2025-08-06,2025-08,2025-08-12,Basic,A
83,UK,London,Desktop,Organic Search,2025-07-01,2025-07,2025-07-02,Free,A
84,Germany,Berlin,Desktop,Referral,2025-07-28,2025-07,2025-07-31,Basic,A
85,India,Bengaluru,Mobile,Referral,2025-03-13,2025-03,2025-03-16,Free,A
86,India,Bengaluru,Mobile,Referral,2025-04-21,2025-04,,Free,B
87,Germany,Munich,Desktop,Google Ads,2025-07-19,2025-07,2025-07-26,Basic,A
88,USA,Austin,Mobile,Organic Search,2025-10-22,2025-10,,Free,A
89,India,Hyderabad,Mobile,Organic Search,2025-08-30,2025-08,2025-09-08,Free,A
90,USA,Austin,Desktop,Organic Search,2025-09-15,2025-09,,Free,B
91,India,Mumbai,Desktop,Referral,2025-08-22,2025-08,2025-08-24,Free,A
92,UK,London,Desktop,Email Campaign,2025-12-11,2025-12,,Free,A
93,India,Hyderabad,Desktop,Email Campaign,2025-01-20,2025-01,2025-02-02,Free,A
94,UK,Manchester,Desktop,Organic Search,2025-02-10,2025-02,2025-02-15,Free,B
95,UK,London,Desktop,Organic Search,2025-01-03,2025-01,2025-01-06,Free,A
96,India,Hyderabad,Mobile,Email Campaign,2025-06-10,2025-06,,Free,A
97,USA,New York,Mobile,Google Ads,2025-06-10,2025-06,2025-06-11,Free,B
98,UK,London,Desktop,Referral,2025-10-31,2025-10,2025-11-09,Pro,A
99,USA,Austin,Mobile,Referral,2025-01-12,2025-01,2025-01-15,Free,A
100,Canada,Toronto,Mobile,Google Ads,2025-08-14,2025-08,2025-08-25,Free,B
101,USA,Austin,Desktop,Google Ads,2025-04-26,2025-04,2025-04-29,Pro,A
102,USA,San Francisco,Desktop,Organic Search,2025-11-19,2025-11,2025-11-19,Free,B
103,India,Bengaluru,Mobile,Organic Search,2025-09-22,2025-09,,Free,B
104,Canada,Vancouver,Desktop,Organic Search,2025-06-12,2025-06,,Free,B
105,India,Bengaluru,Desktop,Organic Search,2025-06-28,2025-06,,Free,A
106,Canada,Vancouver,Mobile,Google Ads,2025-11-16,2025-11,2025-11-16,Free,B
107,UK,Manchester,Desktop,Email Campaign,2025-04-27,2025-04,2025-05-03,Pro,A
108,Canada,Vancouver,Mobile,Referral,2025-07-22,2025-07,2025-07-30,Free,A
109,India,Mumbai,Mobile,Organic Search,2025-09-19,2025-09,2025-10-01,Basic,A
110,India,Bengaluru,Desktop,Referral,2025-10-06,2025-10,,Basic,A
111,USA,New York,Tablet,Google Ads,2025-01-31,2025-01,2025-02-12,Free,A
112,India,Bengaluru,Desktop,Organic Search,2025-04-14,2025-04,2025-04-28,Free,B
113,Canada,Toronto,Desktop,Google Ads,2025-05-26,2025-05,2025-06-07,Free,A
114,India,Mumbai,Desktop,Organic Search,2025-07-16,2025-07,2025-07-22,Free,B
115,India,Mumbai,Mobile,Google Ads,2025-10-06,2025-10,2025-10-09,Free,A
116,USA,San Francisco,Desktop,Email Campaign,2025-08-14,2025-08,2025-08-28,Free,A
117,USA,New York,Desktop,Referral,2025-08-25,2025-08,2025-09-06,Free,B
118,USA,Austin,Desktop,Organic Search,2025-08-16,2025-08,2025-08-20,Basic,A
119,USA,San Francisco,Mobile,Referral,2025-10-11,2025-10,2025-10-18,Basic,B
120,UK,Manchester,Desktop,Organic Search,2025-07-10,2025-07,2025-07-15,Free,B
121,Germany,Munich,Mobile,Referral,2025-12-09,2025-12,,Free,B
122,USA,New York,Desktop,Organic Search,2025-06-02,2025-06,,Free,A
123,India,Mumbai,Desktop,Organic Search,2025-07-23,2025-07,2025-07-31,Free,B
124,India,Bengaluru,Desktop,Google Ads,2025-08-08,2025-08,,Basic,A
125,UK,Manchester,Mobile,Organic Search,2025-09-14,2025-09,,Free,A
126,USA,San Francisco,Mobile,Email Campaign,2025-10-15,2025-10,,Free,B
127,India,Bengaluru,Desktop,Organic Search,2025-12-24,2025-12,2025-12-28,Basic,B
128,USA,Austin,Desktop,Google Ads,2025-05-24,2025-05,2025-06-07,Free,B
129,India,Bengaluru,Tablet,Organic Search,2025-06-05,2025-06,,Free,B
130,UK,Manchester,Mobile,Email Campaign,2025-11-26,2025-11,2025-11-29,Free,B
131,UK,London,Mobile,Google Ads,2025-12-02,2025-12,2025-12-08,Pro,B
132,India,Bengaluru,Desktop,Referral,2025-04-15,2025-04,,Free,B
133,India,Hyderabad,Mobile,Organic Search,2025-04-20,2025-04,2025-04-24,Free,A
134,India,Hyderabad,Desktop,Organic Search,2025-12-09,2025-12,2025-12-19,Free,A
135,Canada,Toronto,Desktop,Organic Search,2025-01-28,2025-01,2025-01-29,Free,B
136,India,Mumbai,Desktop,Referral,2025-11-11,2025-11,,Basic,A
137,Germany,Berlin,Desktop,Referral,2025-03-02,2025-03,2025-03-10,Free,A
138,India,Bengaluru,Desktop,Email Campaign,2025-12-14,2025-12,2025-12-15,Free,B
139,India,Mumbai,Mobile,Google Ads,2025-04-25,2025-04,2025-04-29,Free,A
140,UK,Manchester,Mobile,Organic Search,2025-11-26,2025-11,2025-12-08,Free,A
141,UK,Manchester,Mobile,Organic Search,2025-04-12,2025-04,,Basic,B
142,UK,London,Desktop,Referral,2025-06-01,2025-06,2025-06-02,Free,B
143,USA,New York,Desktop,Referral,2025-03-12,2025-03,2025-03-19,Free,B
144,USA,New York,Tablet,Organic Search,2025-07-26,2025-07,2025-08-04,Free,A
145,USA,San Francisco,Desktop,Google Ads,2025-11-13,2025-11,,Free,B
146,India,Hyderabad,Desktop,Google Ads,2025-10-18,2025-10,2025-10-22,Basic,A
147,India,Hyderabad,Mobile,Organic Search,2025-09-20,2025-09,2025-09-27,Free,A
148,Germany,Munich,Mobile,Google Ads,2025-05-20,2025-05,2025-05-22,Free,B
149,India,Bengaluru,Desktop,Organic Search,2025-03-18,2025-03,,Free,B
150,USA,Austin,Desktop,Google Ads,2025-11-09,2025-11,2025-11-14,Free,B
151,USA,San Francisco,Mobile,Organic Search,2025-11-23,2025-11,2025-11-24,Free,A
152,India,Hyderabad,Desktop,Organic Search,2025-12-25,2025-12,2026-01-04,Free,B
153,UK,Manchester,Desktop,Referral,2025-12-12,2025-12,,Free,A
154,India,Hyderabad,Desktop,Google Ads,2025-06-15,2025-06,2025-06-21,Pro,A
155,India,Bengaluru,Mobile,Google Ads,2025-05-03,2025-05,2025-05-03,Free,A
156,India,Hyderabad,Tablet,Organic Search,2025-06-16,2025-06,2025-06-22,Free,B
157,USA,Austin,Mobile,Google Ads,2025-07-10,2025-07,,Pro,A
158,India,Bengaluru,Tablet,Organic Search,2025-08-13,2025-08,,Free,A
159,Canada,Vancouver,Mobile,Organic Search,2025-12-19,2025-12,,Free,A
160,UK,Manchester,Tablet,Organic Search,2025-01-21,2025-01,,Free,B
161,India,Hyderabad,Desktop,Email Campaign,2025-02-20,2025-02,2025-03-06,Free,A
162,Germany,Berlin,Desktop,Organic Search,2025-02-16,2025-02,2025-02-16,Free,B
163,India,Mumbai,Mobile,Referral,2025-05-15,2025-05,2025-05-18,Free,A
164,Canada,Vancouver,Desktop,Organic Search,2025-03-20,2025-03,2025-03-24,Free,B
165,USA,San Francisco,Desktop,Organic Search,2025-05-14,2025-05,2025-05-15,Free,A
166,India,Mumbai,Desktop,Google Ads,2025-08-02,2025-08,2025-08-03,Free,B
167,Germany,Munich,Mobile,Organic Search,2025-01-30,2025-01,2025-02-02,Free,A
168,India,Mumbai,Desktop,Google Ads,2025-03-02,2025-03,2025-03-08,Basic,A
169,USA,San Francisco,Tablet,Google Ads,2025-09-04,2025-09,2025-09-14,Free,A
170,USA,New York,Desktop,Organic Search,2025-06-15,2025-06,2025-06-29,Free,A
171,India,Bengaluru,Desktop,Organic Search,2025-12-14,2025-12,2025-12-18,Free,A
172,Germany,Berlin,Desktop,Referral,2025-01-31,2025-01,,Basic,B
173,India,Bengaluru,Desktop,Organic Search,2025-04-22,2025-04,2025-05-03,Free,B
174,India,Bengaluru,Mobile,Google Ads,2025-06-04,2025-06,2025-06-09,Free,B
175,USA,New York,Desktop,Referral,2025-06-20,2025-06,2025-06-30,Free,B
176,India,Bengaluru,Mobile,Referral,2025-06-19,2025-06,,Free,A
177,USA,San Francisco,Mobile,Google Ads,2025-12-27,2025-12,2025-12-27,Pro,A
178,India,Bengaluru,Mobile,Organic Search,2025-01-10,2025-01,,Free,B
179,Germany,Munich,Desktop,Google Ads,2025-11-09,2025-11,2025-11-09,Pro,A
180,India,Bengaluru,Mobile,Organic Search,2025-10-02,2025-10,2025-10-03,Free,A
181,India,Hyderabad,Tablet,Email Campaign,2025-08-20,2025-08,2025-08-29,Free,B
182,India,Hyderabad,Desktop,Organic Search,2025-06-22,2025-06,2025-06-27,Basic,A
183,USA,New York,Desktop,Email Campaign,2025-06-12,2025-06,2025-06-16,Basic,A
184,India,Mumbai,Desktop,Organic Search,2025-01-14,2025-01,2025-01-24,Free,A
185,UK,Manchester,Desktop,Organic Search,2025-11-28,2025-11,,Basic,B
186,UK,London,Desktop,Organic Search,2025-06-11,2025-06,2025-06-23,Free,A
187,India,Mumbai,Desktop,Google Ads,2025-02-07,2025-02,,Basic,B
188,USA,Austin,Mobile,Referral,2025-04-30,2025-04,2025-05-14,Free,B
189,UK,London,Desktop,Referral,2025-12-14,2025-12,2025-12-14,Free,A
190,India,Mumbai,Mobile,Google Ads,2025-01-12,2025-01,,Free,B
191,India,Mumbai,Desktop,Organic Search,2025-08-09,2025-08,,Free,B
192,UK,Manchester,Desktop,Organic Search,2025-03-01,2025-03,2025-03-01,Basic,B
193,India,Hyderabad,Desktop,Organic Search,2025-10-28,2025-10,2025-11-06,Basic,B
194,India,Mumbai,Mobile,Referral,2025-04-09,2025-04,2025-04-18,Free,B
195,Germany,Berlin,Mobile,Email Campaign,2025-11-25,2025-11,,Free,A
196,USA,Austin,Tablet,Google Ads,2025-11-29,2025-11,2025-11-29,Free,B
197,India,Hyderabad,Desktop,Google Ads,2025-09-02,2025-09,2025-09-16,Free,B
198,UK,London,Desktop,Google Ads,2025-12-07,2025-12,2025-12-16,Free,B
199,UK,Manchester,Mobile,Organic Search,2025-03-10,2025-03,2025-03-11,Free,B
200,UK,London,Mobile,Organic Search,2025-06-18,2025-06,,Free,B
201,USA,New York,Mobile,Referral,2025-07-12,2025-07,2025-07-18,Free,B
202,USA,New York,Desktop,Organic Search,2025-03-22,2025-03,2025-04-03,Free,B
203,Germany,Munich,Desktop,Google Ads,2025-11-21,2025-11,2025-12-05,Free,B
204,UK,London,Desktop,Organic Search,2025-05-07,2025-05,2025-05-10,Free,B
205,UK,Manchester,Mobile,Organic Search,2025-02-16,2025-02,,Free,A
206,India,Mumbai,Mobile,Referral,2025-09-20,2025-09,2025-09-22,Free,B
207,UK,Manchester,Desktop,Google Ads,2025-03-22,2025-03,2025-04-03,Free,B
208,UK,London,Desktop,Email Campaign,2025-10-27,2025-10,2025-11-04,Pro,B
209,USA,New York,Desktop,Email Campaign,2025-12-13,2025-12,2025-12-18,Free,B
210,USA,San Francisco,Desktop,Organic Search,2025-11-17,2025-11,2025-11-28,Free,A
211,India,Bengaluru,Mobile,Referral,2025-10-10,2025-10,2025-10-23,Free,B
212,USA,Austin,Tablet,Google Ads,2025-01-07,2025-01,2025-01-17,Free,B
213,USA,San Francisco,Mobile,Referral,2025-01-29,2025-01,,Free,A
214,UK,Manchester,Desktop,Organic Search,2025-07-18,2025-07,,Pro,B
215,USA,New York,Desktop,Organic Search,2025-01-10,2025-01,2025-01-14,Free,A
216,Germany,Berlin,Desktop,Organic Search,2025-10-28,2025-10,,Pro,B
217,USA,Austin,Desktop,Organic Search,2025-07-24,2025-07,2025-07-27,Basic,B
218,India,Bengaluru,Desktop,Referral,2025-08-16,2025-08,2025-08-17,Free,B
219,India,Hyderabad,Desktop,Organic Search,2025-10-17,2025-10,2025-10-20,Pro,A
220,Canada,Toronto,Desktop,Organic Search,2025-03-17,2025-03,2025-03-25,Free,A
221,Germany,Berlin,Desktop,Google Ads,2025-03-01,2025-03,2025-03-14,Pro,B
222,Germany,Berlin,Desktop,Organic Search,2025-02-04,2025-02,2025-02-15,Basic,B
223,UK,Manchester,Desktop,Organic Search,2025-10-28,2025-10,,Free,A
224,UK,London,Mobile,Google Ads,2025-02-01,2025-02,2025-02-02,Free,B
225,India,Mumbai,Mobile,Organic Search,2025-10-24,2025-10,2025-10-25,Free,B
226,India,Hyderabad,Tablet,Email Campaign,2025-05-07,2025-05,2025-05-12,Pro,A
227,UK,Manchester,Mobile,Organic Search,2025-11-30,2025-11,2025-12-01,Free,A
228,India,Bengaluru,Desktop,Organic Search,2025-10-30,2025-10,2025-10-30,Free,B
229,India,Bengaluru,Desktop,Google Ads,2025-06-09,2025-06,2025-06-15,Free,A
230,India,Mumbai,Desktop,Organic Search,2025-03-17,2025-03,2025-03-17,Basic,A
231,India,Hyderabad,Desktop,Organic Search,2025-05-10,2025-05,2025-05-19,Free,B
232,UK,London,Tablet,Organic Search,2025-02-24,2025-02,2025-02-24,Free,A
233,India,Mumbai,Mobile,Referral,2025-02-18,2025-02,,Pro,B
234,USA,Austin,Desktop,Organic Search,2025-09-01,2025-09,2025-09-05,Free,A
235,UK,Manchester,Desktop,Organic Search,2025-08-14,2025-08,2025-08-20,Pro,B
236,UK,London,Mobile,Organic Search,2025-05-17,2025-05,2025-05-22,Basic,A
237,India,Hyderabad,Desktop,Organic Search,2025-10-06,2025-10,2025-10-10,Free,B
238,India,Hyderabad,Desktop,Referral,2025-02-23,2025-02,2025-03-05,Free,B
239,USA,Austin,Desktop,Organic Search,2025-03-13,2025-03,2025-03-25,Pro,B
240,India,Bengaluru,Desktop,Organic Search,2025-05-15,2025-05,2025-05-27,Basic,B
241,India,Mumbai,Desktop,Referral,2025-02-05,2025-02,2025-02-06,Free,A
242,India,Bengaluru,Desktop,Organic Search,2025-11-03,2025-11,,Free,A
243,Canada,Vancouver,Desktop,Organic Search,2025-10-01,2025-10,2025-10-13,Free,A
244,India,Bengaluru,Desktop,Organic Search,2025-08-19,2025-08,,Basic,A
245,India,Bengaluru,Desktop,Referral,2025-05-07,2025-05,2025-05-18,Free,B
246,India,Mumbai,Mobile,Referral,2025-09-10,2025-09,,Free,A
247,India,Hyderabad,Desktop,Referral,2025-05-22,2025-05,2025-05-23,Free,B
248,USA,New York,Desktop,Email Campaign,2025-05-31,2025-05,,Free,B
249,India,Mumbai,Mobile,Organic Search,2025-10-29,2025-10,2025-10-31,Pro,B
250,UK,London,Desktop,Organic Search,2025-11-18,2025-11,2025-11-27,Free,A
251,Canada,Toronto,Mobile,Referral,2025-09-02,2025-09,2025-09-09,Free,B
252,India,Bengaluru,Desktop,Google Ads,2025-04-13,2025-04,2025-04-16,Basic,B
253,India,Hyderabad,Mobile,Google Ads,2025-04-11,2025-04,2025-04-20,Pro,A
254,UK,London,Desktop,Organic Search,2025-12-15,2025-12,2025-12-15,Free,A
255,Germany,Berlin,Desktop,Organic Search,2025-04-27,2025-04,2025-05-01,Free,A
256,India,Mumbai,Desktop,Organic Search,2025-02-19,2025-02,2025-02-28,Free,B
257,Germany,Berlin,Desktop,Google Ads,2025-12-29,2025-12,2026-01-09,Basic,A
258,India,Hyderabad,Desktop,Email Campaign,2025-08-13,2025-08,,Basic,A
259,India,Bengaluru,Desktop,Google Ads,2025-04-06,2025-04,2025-04-13,Free,B
260,Germany,Berlin,Mobile,Referral,2025-10-22,2025-10,2025-10-24,Free,A
261,Canada,Vancouver,Desktop,Google Ads,2025-01-22,2025-01,2025-02-03,Free,A
262,India,Hyderabad,Tablet,Google Ads,2025-08-20,2025-08,,Free,A
263,India,Mumbai,Desktop,Organic Search,2025-03-10,2025-03,2025-03-16,Free,B
264,India,Mumbai,Mobile,Referral,2025-05-28,2025-05,2025-06-01,Free,B
265,India,Hyderabad,Desktop,Organic Search,2025-01-14,2025-01,2025-01-14,Basic,B
266,India,Bengaluru,Desktop,Referral,2025-09-30,2025-09,2025-10-11,Basic,A
267,USA,New York,Mobile,Organic Search,2025-05-07,2025-05,2025-05-12,Free,A
268,USA,San Francisco,Desktop,Referral,2025-12-25,2025-12,,Free,A
269,India,Mumbai,Mobile,Referral,2025-12-09,2025-12,,Free,A
270,USA,Austin,Mobile,Email Campaign,2025-06-14,2025-06,,Free,A
271,USA,New York,Desktop,Email Campaign,2025-10-29,2025-10,2025-11-06,Free,B
272,India,Mumbai,Desktop,Google Ads,2025-09-07,2025-09,,Free,A
273,Canada,Toronto,Mobile,Organic Search,2025-09-01,2025-09,2025-09-07,Free,B
274,India,Hyderabad,Desktop,Organic Search,2025-07-20,2025-07,2025-08-01,Free,B
275,India,Mumbai,Desktop,Google Ads,2025-08-11,2025-08,2025-08-22,Free,A
276,Canada,Vancouver,Mobile,Google Ads,2025-10-22,2025-10,2025-11-05,Pro,B
277,India,Bengaluru,Desktop,Organic Search,2025-12-21,2025-12,,Free,B
278,India,Bengaluru,Tablet,Referral,2025-06-22,2025-06,,Free,B
279,UK,Manchester,Desktop,Organic Search,2025-12-29,2025-12,2026-01-01,Free,B
280,Canada,Toronto,Mobile,Organic Search,2025-10-16,2025-10,2025-10-27,Free,A
281,Germany,Berlin,Desktop,Referral,2025-04-25,2025-04,2025-05-02,Free,B
282,Canada,Toronto,Desktop,Organic Search,2025-08-18,2025-08,,Pro,B
283,USA,New York,Mobile,Google Ads,2025-04-24,2025-04,2025-05-04,Free,A
284,Canada,Vancouver,Desktop,Referral,2025-05-01,2025-05,2025-05-05,Free,A
285,Germany,Munich,Mobile,Organic Search,2025-01-03,2025-01,,Free,B
286,USA,San Francisco,Mobile,Referral,2025-09-14,2025-09,2025-09-23,Basic,B
287,Germany,Munich,Desktop,Google Ads,2025-02-21,2025-02,2025-02-24,Free,A
288,India,Hyderabad,Mobile,Email Campaign,2025-09-24,2025-09,2025-09-26,Basic,A
289,USA,San Francisco,Desktop,Google Ads,2025-08-09,2025-08,,Pro,B
290,Canada,Vancouver,Desktop,Referral,2025-02-21,2025-02,2025-03-06,Free,A
291,Germany,Berlin,Desktop,Google Ads,2025-01-27,2025-01,2025-02-08,Free,A
292,India,Hyderabad,Desktop,Google Ads,2025-11-06,2025-11,,Basic,A
293,India,Mumbai,Mobile,Referral,2025-12-04,2025-12,2025-12-13,Free,B
294,India,Mumbai,Desktop,Organic Search,2025-12-13,2025-12,2025-12-15,Free,A
295,USA,New York,Mobile,Organic Search,2025-01-13,2025-01,2025-01-14,Free,B
296,India,Bengaluru,Desktop,Organic Search,2025-09-05,2025-09,2025-09-05,Pro,B
297,India,Mumbai,Desktop,Organic Search,2025-03-17,2025-03,2025-03-20,Free,A
298,UK,Manchester,Desktop,Organic Search,2025-04-27,2025-04,2025-05-08,Free,B
299,USA,New York,Tablet,Organic Search,2025-01-12,2025-01,2025-01-24,Free,B
300,USA,Austin,Desktop,Referral,2025-04-13,2025-04,2025-04-25,Free,B
301,India,Mumbai,Desktop,Referral,2025-03-14,2025-03,2025-03-18,Free,A
302,USA,San Francisco,Desktop,Organic Search,2025-12-20,2025-12,2025-12-26,Free,B
303,UK,Manchester,Desktop,Google Ads,2025-04-19,2025-04,2025-04-28,Basic,B
304,India,Hyderabad,Mobile,Google Ads,2025-07-24,2025-07,,Pro,A
305,UK,London,Mobile,Referral,2025-08-21,2025-08,,Free,A
306,USA,San Francisco,Tablet,Organic Search,2025-11-09,2025-11,,Free,A
307,USA,San Francisco,Desktop,Google Ads,2025-05-26,2025-05,2025-06-02,Free,A
308,India,Hyderabad,Mobile,Organic Search,2025-07-07,2025-07,2025-07-17,Free,B
309,Canada,Toronto,Desktop,Referral,2025-04-25,2025-04,2025-04-26,Free,B
310,UK,London,Desktop,Organic Search,2025-12-20,2025-12,,Free,A
311,UK,London,Mobile,Organic Search,2025-03-19,2025-03,2025-03-27,Free,A
312,UK,Manchester,Desktop,Referral,2025-11-10,2025-11,2025-11-19,Basic,B
313,India,Hyderabad,Desktop,Organic Search,2025-02-13,2025-02,2025-02-21,Pro,B
314,Canada,Vancouver,Mobile,Email Campaign,2025-01-19,2025-01,2025-01-29,Free,A
315,Canada,Toronto,Desktop,Organic Search,2025-09-19,2025-09,2025-09-21,Free,B
316,Canada,Toronto,Desktop,Organic Search,2025-06-16,2025-06,2025-06-23,Basic,B
317,USA,San Francisco,Desktop,Google Ads,2025-03-07,2025-03,2025-03-20,Free,B
318,USA,San Francisco,Desktop,Referral,2025-03-08,2025-03,,Basic,A
319,USA,Austin,Desktop,Google Ads,2025-12-15,2025-12,2025-12-23,Free,A
320,Canada,Vancouver,Mobile,Google Ads,2025-11-20,2025-11,2025-12-02,Free,A
